ID	e4	e6	e10	e14	eN	mN	latN	adult
CD08175	886	463	185	290	382	311	658	465
CD08176	2304	2553	852	792	1129	679	461	81
CD08177	889	39	20	260	403	1483	1247	463
CD08178	3	2	1	22	27	35	25	6
CD08179	89	16	9	5	3	0	5	1
CD08180	25	67	1	2	0	4	0	7
CD08181	2	0	0	152	3	4	5	1
CD08182	253	150	10	15	6	4	5	26
CD08183	22	9	292	498	65	35	44	963
CD08184	183	152	134	93	107	132	109	47
CD08185	8	1	264	899	3	0	5	3
CD08186	10	9	2	24	6	4	5	69
CD08187	2675	516	32	46	213	171	241	1003
CD08188	39	5	3	7	3	8	2	1
CD08189	2159	266	97	146	0	4	5	3
CD08190	21	4	475	462	459	283	482	745
CD08191	2783	5288	6044	2268	1259	656	901	4385
CD08192	10557	16130	10873	18210	79018	60423	79368	9294
CD08193	442	9102	966	662	3	8	2	8
CD08194	3	3	18	59	3	4	2	114
CD08195	3	3	1	144	18	722	2	4
CD08196	30	59	67	285	44	19	19	441
CD08197	562	1074	426	380	462	516	491	388
CD08198	611	1060	968	857	486	342	660	915
CD08199	582	469	261	310	441	520	725	795
CD08200	924	921	615	1675	1129	652	498	1571
CD08201	107	1622	200	941	107	113	46	2552
CD08202	910	1345	653	679	1058	1219	1207	419
CD08203	2769	3760	2689	3072	1905	1518	2398	3606
CD08204	36	85	21	315	133	54	93	470
CD08205	1625	1258	1447	1127	1274	1032	1191	1536
CD08206	1487	2131	4482	1848	1087	819	1089	3894
CD08207	140	5	3	2	3	4	2	1
CD08208	31	1	18	151	296	532	151	41
CD08209	256	255	327	146	237	555	329	306
CD08210	26	137	161	681	252	109	121	919
CD08211	15	28	3	331	2216	602	596	94
CD08212	26	9	7	2	3	0	2	1
CD08213	82	9	73	188	504	652	681	264
CD08214	523	288	292	181	329	334	352	181
CD08215	8	1	0	1	0	0	0	1
CD08216	1217	299	60	761	8807	106473	55884	12126
CD08217	1	0	7	13	3	4	2	39
CD08218	3	1	8	56	299	206	633	909
CD08219	2	1	8	53	56	39	102	439
CD08220	1	1	6	141	9	19	9	6
CD08221	42	9	94	296	21	31	14	412
CD08222	542	2133	510	966	658	279	387	1689
CD08223	1334	1263	1542	807	835	590	813	1228
CD08224	284	358	284	771	465	466	355	1047
CD08225	95	41	15	124	50	39	37	357
CD08226	8197	13908	3152	3041	8256	10674	9879	10735
CD08227	1976	2528	3944	3928	4461	5306	7024	7634
CD08228	535	1068	530	848	1964	1696	1071	591
CD08229	808	531	1545	1087	788	543	772	1518
CD08230	804	1056	606	462	847	893	962	600
CD08232	37	3	0	2	0	0	0	0
CD08234	6	1	0	0	0	0	0	0
CD08235	0	3	2	4	3	4	5	14
CD08236	595	640	624	594	1004	1269	1529	761
CD08237	82	49	256	104	24	4	5	110
CD08238	1865	2059	1191	820	906	935	2053	833
CD08239	2201	1523	1037	1170	2764	1914	2053	9022
CD08240	72	60	22	72	166	132	195	1665
CD08241	6	7	12	1152	2459	1172	508	273
CD08242	3495	3134	2477	26656	61063	55827	49386	4371
CD08243	2	9	113	35	27	23	9	4
CD08244	196	144	571	346	65	78	56	321
CD08245	4	1	1	125	18	43	28	37
CD08247	56	0	19	73	18	78	30	0
CD08248	52	1	0	2	0	0	0	0
CD08249	24	15	47	27	9	4	5	109
CD08250	643	1414	1055	528	1215	854	1003	911
CD08251	908	1312	1189	1046	1321	1153	1363	4412
CD08252	3859	5131	1956	1613	1612	1917	2306	1970
CD08253	1037	795	811	781	741	633	906	4082
CD08254	3	0	0	6	3	0	0	3
CD08255	2663	7962	3234	2484	924	594	1196	2979
CD08256	178	369	1217	493	376	233	266	514
CD08257	138	171	136	76	39	35	44	85
CD08258	359	377	923	960	1253	2294	1497	423
CD08259	66	32	144	182	258	241	1358	608
CD08260	279	293	327	214	234	411	220	45
CD08261	11	2	2	107	6	4	9	1
CD08262	841	762	300	535	255	221	482	2238
CD08263	6	8	8	2	0	0	0	3
CD08264	172	218	142	110	80	93	97	216
CD08265	652	495	616	586	794	652	830	605
CD08266	328	318	398	133	39	12	42	1025
CD08267	18	41	128	40	6	0	2	60
CD08268	362	377	343	284	314	361	473	833
CD08269	127	7	9	8	6	23	9	16
CD08270	3	1	4	15	18	31	7	1
CD08271	4759	8886	7414	5592	4701	3408	3907	5722
CD08272	1446	1600	1244	955	995	737	1015	1702
CD08273	1056	1151	1092	653	444	163	375	2869
CD08274	4	1	256	394	36	23	23	13
CD08275	646	758	529	488	915	1401	1094	205
CD08276	90	28	141	557	477	225	239	879
CD08277	1250	962	767	576	909	1203	857	273
CD08278	2240	1315	762	1957	2056	1549	2111	5188
CD08279	837	342	1816	1023	427	252	577	2156
CD08280	1277	1221	1082	880	1392	1397	1587	683
CD08281	21	3	7	112	44	31	23	0
CD08282	12	10	27	33	15	19	14	8
CD08283	1163	952	716	538	1069	1133	1365	379
CD08284	59	5	5	72	21	54	7	6
CD08285	4680	4206	4913	2051	1375	1254	1715	4849
CD08286	940	951	452	303	267	206	232	111
CD08287	37	1	1	562	3	0	0	438
CD08288	83	159	176	117	160	136	141	117
CD08289	1813	2382	1245	1057	1262	1921	1177	281
CD08290	1117	1166	1484	1363	258	155	153	4472
CD08291	5	26	2	41	0	0	0	1
CD08292	1130	954	1030	869	1025	986	1010	2252
CD08293	817	1253	339	433	764	811	939	2016
CD08294	422	308	369	224	323	330	366	190
CD08296	176	1	9	62	6	31	5	1
CD08297	347	536	362	243	299	411	292	275
CD08298	159	104	114	149	1179	1141	1314	1366
CD08299	583	457	569	455	761	974	1226	539
CD08300	901	1022	1094	564	524	349	366	494
CD08301	27	22	5	45	12	0	2	53
CD08302	2700	3656	1717	1677	382	163	141	2498
CD08303	323	197	251	151	187	210	188	105
CD08304	3	10	2	33	0	0	0	0
CD08305	7	5	6	275	216	210	211	23
CD08306	17	0	9	2	0	0	2	1
CD08307	497	40	1	12	0	0	0	1
CD08308	137	10	0	2	0	0	0	0
CD08309	7	1	0	0	0	0	0	0
CD08310	7	0	0	0	0	0	0	0
CD08312	215	20	2	5	0	0	0	0
CD08313	9	0	0	0	0	0	0	0
CD08314	210	18	1	3	0	0	0	0
CD08315	992	44	1	23	0	0	0	1
CD08317	223	10	1	6	0	0	0	1
CD08318	60	0	0	1	0	0	0	0
CD08320	7	5	7	4	0	4	2	8
CD08321	394	619	472	318	672	846	649	199
CD08322	1251	1676	1415	966	1576	1654	1852	497
CD08323	114	191	103	82	3	4	2	138
CD08324	4	2	153	62	3	4	0	8
CD08325	1732	503	992	1817	2195	1700	2512	3932
CD08326	1614	1628	1192	530	98	70	93	875
CD08327	1937	1331	1457	1205	1902	1859	2185	1105
CD08328	857	892	668	430	1001	877	1082	407
CD08330	3	8	6	4	0	0	0	1
CD08331	0	0	3	4	12	27	2	3
CD08332	170	21	9	20	6	4	5	3
CD08333	71	58	280	231	1552	1937	2589	2117
CD08334	1	1	6	73	0	4	2	2
CD08335	7	1	2	166	344	396	167	7
CD08336	1547	862	955	468	548	532	399	501
CD08337	814	961	777	462	785	912	830	535
CD08338	1	7	12	174	18	16	0	2
CD08339	3763	4982	1858	2494	4038	4879	3376	2101
CD08340	9	4	202	290	275	175	250	181
CD08341	0	7	40	434	50	47	28	1
CD08342	228	195	263	186	9	12	9	5
CD08343	14	7	6	30	21	19	9	2
CD08344	10	9	20	96	36	136	21	202
CD08345	827	744	903	540	723	574	570	545
CD08346	7476	2179	1253	2470	4319	1242	1671	5350
CD08347	37	208	662	627	127	58	97	242
CD08348	2239	2753	2535	2475	2041	1603	2417	5772
CD08349	383	359	449	273	317	241	273	248
CD08350	330	322	322	238	421	668	433	228
CD08351	4	0	1	41	6	35	9	23
CD08352	16	3	6	45	3	4	0	1
CD08353	457	319	497	302	646	683	663	371
CD08354	9	15	30	61	89	144	306	63
CD08355	11274	19116	10647	4620	1973	1599	1935	12765
CD08356	2	1	2	47	21	35	12	1
CD08357	5	14	42	159	625	353	1407	10
CD08358	365	359	276	462	104	194	188	1269
CD08359	892	619	886	487	877	904	790	520
CD08360	375	580	305	280	560	866	716	381
CD08361	0	0	1	3	12	8	14	1
CD08362	173	20	1179	630	403	260	489	483
CD08363	27	84	206	493	456	295	283	249
CD08364	1588	1751	2032	1350	2201	2119	2292	472
CD08365	529	440	164	395	477	963	619	978
CD08366	3	36	8	7	3	8	5	2
CD08367	3	1	9	339	13319	807	1205	223
CD08368	3636	3964	3492	1355	1253	726	1071	4266
CD08369	7043	8400	4520	3404	1333	920	1599	8299
CD08370	0	0	1	127	1428	256	2	0
CD08374	1	1	0	2	0	0	0	8
CD08375	171	5	0	0	0	0	0	0
CD08376	31	1	0	0	0	0	0	0
CD08377	77	3	0	2	0	0	0	1
CD08378	185	32	136	146	275	179	74	71
CD08379	0	2	13	239	9	8	14	2
CD08380	2843	2433	1257	1271	981	803	1075	1813
CD08381	9	0	2	2	0	0	0	1
CD08382	412	330	238	298	649	578	637	651
CD08383	723	767	844	986	738	489	749	1655
CD08384	4	1	2	172	6	4	0	0
CD08385	61	1	0	8	21	23	7	33
CD08386	0	0	0	7	12	12	0	0
CD08387	986	1683	2170	1148	1212	904	1112	1028
CD08388	206	26	0	4	0	0	0	1
CD08389	314	646	69	451	86	248	76	83
CD08390	192	224	98	88	116	167	111	105
CD08391	329	439	215	590	394	373	431	1516
CD08392	68	25	31	501	71	147	104	465
CD08393	0	3	38	175	3	4	12	3
CD08394	48	8	213	408	264	559	197	502
CD08395	5	4	5	8	12	16	5	1
CD08396	2	3	2	36	27	12	0	1
CD08397	2	1	1	29	0	8	2	1
CD08398	4716	4602	8628	2648	752	423	512	2196
CD08401	3095	2120	260	429	139	179	1302	2096
CD08402	1021	960	333	532	293	423	155	343
CD08403	717	270	246	216	584	551	552	132
CD08404	271	3	1	5636	32521	1312	2264	1808
CD08405	5	2	0	1	0	0	0	4
CD08407	434	571	122	147	6	8	5	1
CD08409	3	3	4	7	142	345	301	9
CD08410	548	576	325	245	196	167	199	164
CD08411	628	642	882	830	1164	811	461	675
CD08412	1557	2367	2096	1293	2559	3047	2686	1484
CD08413	3	2	1	154	18	54	28	8
CD08414	192	181	238	293	353	345	410	172
CD08415	180	154	52	150	154	380	591	374
CD08416	97	75	108	602	2115	1801	4827	12453
CD08417	8	12	84	181	261	155	158	141
CD08418	11	6	1	8	9	4	2	7
CD08419	17	24	45	20	0	0	0	112
CD08420	178	839	131	185	12	12	25	14
CD08421	0	0	3	13	12	4	5	2
CD08422	566	402	164	168	317	276	229	67
CD08423	297	301	533	627	634	369	1249	1547
CD08424	5	1	0	567	16885	1141	2943	100
CD08425	10	2	4	42	71	58	12	1
CD08427	676	637	931	3940	4195	3633	9524	103467
CD08428	15	40	27	191	127	415	324	25
CD08429	58	0	11	50	270	415	225	308
CD08430	125	62	122	726	468	116	130	1254
CD08431	5	0	1	71	3	4	0	1
CD08432	909	5794	2036	2966	3	4	2	11
CD08433	7	1	0	0	0	0	0	4
CD08434	182	41	2	11	3	31	2	3
CD08435	0	1	2	25	0	0	2	1
CD08436	201	4763	2961	1727	684	512	725	3445
CD08437	120	105	661	3068	1416	1704	3659	859
CD08438	395	262	625	476	361	260	387	529
CD08439	309	313	351	358	353	279	433	483
CD08440	2322	25	17	41	133	82	167	876
CD08441	21	0	0	20	56	39	23	13
CD08442	252	255	442	285	284	357	250	103
CD08443	0	0	0	6	9	4	0	0
CD08444	2	3	2	38	12	12	2	1
CD08445	1	0	1	0	18	16	19	14
CD08446	3608	4442	1892	1127	536	454	637	655
CD08447	25	36	7	73	3	0	2	9
CD08448	0	2	1	10	0	0	0	0
CD08449	431	518	396	377	382	594	394	164
CD08450	1	10	1	5	0	0	0	0
CD08451	228	144	15	17	0	4	0	98
CD08452	431	373	430	382	486	532	549	295
CD08456	363	396	413	282	501	485	686	250
CD08457	7	1	5	2	6	0	2	12
CD08458	1597	2078	3002	2328	3371	2333	2755	2757
CD08459	409	483	1672	669	379	190	225	426
CD08460	0	0	8	132	39	8070	2	1
CD08461	191	90	80	77	169	202	290	103
CD08462	452	402	214	252	853	1075	1041	1472
CD08463	377	248	306	149	219	202	197	217
CD08464	484	278	386	419	998	606	848	1199
CD08466	3	1	115	652	83	3482	16	3
CD08467	2585	2531	9480	19359	65779	107354	58067	13706
CD08468	2	28	6	14	3	4	2	2
CD08470	502	309	305	1231	2115	3206	2718	1210
CD08471	0	15	4	9	0	4	2	2
CD08472	34	26	115	37	27	19	39	34
CD08473	2048	2784	2030	1372	2254	3291	4185	970
CD08474	8	1	1	850	12	31	7	215
CD08475	4	32	10	128	18	16	12	110
CD08476	306	326	277	247	459	629	461	231
CD08477	213	594	251	111	0	0	0	388
CD08478	7	22	6	610	12	0	2	3
CD08479	837	1062	1292	1412	1647	1044	1096	2071
CD08481	843	1174	1508	2762	13831	19539	12560	2875
CD08482	792	818	784	634	1363	1401	1481	845
CD08483	131	87	1248	2782	1786	1234	1321	3117
CD08484	32	37	68	50	181	78	51	123
CD08485	41	144	132	180	320	279	132	43
CD08486	8948	20475	9613	7224	3534	2721	4373	14447
CD08487	20	39	24	26	62	194	121	65
CD08491	5	0	0	0	0	0	0	0
CD08501	2162	7921	3086	1891	945	753	714	1457
CD08502	736	591	671	381	335	291	343	439
CD08503	385	446	343	218	569	590	943	264
CD08504	9	22	18	45	113	299	111	48
CD08505	2214	4768	1932	1399	2565	3031	2042	737
CD08506	106	7	72	39	36	62	44	25
CD08507	5	5	2	5	696	734	463	39
CD08508	200	81	49	323	918	1778	1363	845
CD08509	426	280	536	4051	2296	660	786	1908
CD08510	40	10	409	1070	83	39	53	1352
CD08511	8431	28523	7977	3859	761	582	832	689
CD08512	2	4	6	15	33	43	23	18
CD08513	27	1	189	750	278	182	276	1136
CD08514	763	985	1277	1071	1514	1619	2083	1266
CD08515	302	420	572	404	687	1444	765	344
CD08516	397	197	413	404	201	179	171	110
CD08517	2723	5879	2846	1999	1869	1650	2132	1711
CD08518	315	189	214	231	255	283	399	79
CD08519	666	562	327	399	444	481	503	175
CD08520	122	61	86	263	270	1498	1263	23
CD08521	458	458	615	461	847	1463	1024	472
CD08522	1909	2849	2552	1574	1069	796	1147	884
CD08523	321	706	607	1305	684	660	973	705
CD08524	1078	1043	1023	819	524	384	454	858
CD08525	1431	1677	1538	900	708	536	718	1110
CD08526	934	1574	768	592	690	637	725	979
CD08527	2398	4303	2987	3661	5910	16892	5805	421
CD08528	90	17	10	10	6	16	5	18
CD08529	89	62	870	466	210	217	229	586
CD08530	545	854	757	643	607	1199	772	476
CD08531	716	982	2082	2094	889	474	658	1898
CD08532	125	7	1	5	3	0	2	5
CD08533	282	253	388	337	421	415	422	374
CD08534	2458	3780	5205	6480	5086	3773	4778	4711
CD08535	40	75	72	56	9	8	5	85
CD08536	1569	1071	359	1264	1739	1397	1791	3173
CD08537	26	23	44	67	39	39	28	30
CD08538	1052	1054	679	518	643	885	628	209
CD08539	283	427	377	363	572	644	463	163
CD08540	2987	3985	5680	2287	2868	2368	2387	933
CD08541	2625	4181	2171	1591	1312	784	1159	2021
CD08542	999	677	643	525	809	943	855	168
CD08543	1591	1632	1176	752	675	835	827	862
CD08544	332	338	198	297	219	217	222	160
CD08545	391	578	512	555	664	427	521	501
CD08546	40	92	208	186	210	330	236	109
CD08547	508	616	344	282	453	691	603	162
CD08548	892	1085	1997	1617	400	202	311	3421
CD08549	196	190	96	151	101	147	132	57
CD08550	848	1333	1662	1146	492	474	674	1155
CD08551	3587	4303	2071	1605	1369	1133	1430	1696
CD08552	331	226	257	196	201	291	246	136
CD08553	855	1261	1171	883	749	745	867	641
CD08554	5	1	382	227	21	19	16	318
CD08555	2830	3345	2581	2037	4192	4510	6449	1555
CD08556	93	45	51	45	6	4	7	84
CD08557	736	518	609	437	489	392	554	526
CD08558	2	0	2	644	71	908	9	4
CD08559	34	99	172	78	89	50	53	45
CD08560	925	1305	4814	1774	770	497	575	1465
CD08561	264	141	232	260	166	159	387	11771
CD08562	33	3	487	987	7053	6420	5627	27088
CD08563	10	20	44	26	9	4	5	4
CD08564	1954	1984	2126	1287	1523	1219	1578	1449
CD08565	6	34	455	213	65	31	28	55
CD08566	113	185	220	148	50	35	67	157
CD08567	963	1508	1641	1289	323	213	243	1393
CD08568	1297	783	1070	872	942	924	832	478
CD08569	1948	1059	1160	1855	2856	757	1068	2235
CD08570	1947	3780	3513	4132	972	365	711	8280
CD08571	2046	4316	2190	1585	1819	1929	1759	5098
CD08572	107	26	11	7	0	66	0	9
CD08573	3	1	1	499	234	10022	290	4
CD08574	0	0	0	2	95	1522	32	0
CD08575	0	0	0	1	12	4	5	0
CD08576	0	0	0	0	6	186	0	0
CD08577	682	1054	229	134	551	675	783	268
CD08578	89	88	45	27	3	4	5	49
CD08579	46	2	1	32	30	35	32	0
CD08580	455	493	218	141	27	19	35	249
CD08581	1	3	15	14	3	4	2	32
CD08583	0	1	4	4	6	16	9	24
CD08585	59	32	5	13	15	16	7	11
CD08590	115	67	10	31	21	19	12	21
CD08592	23	24	1	4	3	0	0	2
CD08596	5	3	1	3	0	0	0	4
CD08597	170	82	10	37	74	54	37	26
CD08598	7	4	0	43	136	198	209	120
CD08599	36	15	35	26	6	4	2	32
CD08600	8325	4880	416	797	83	159	213	188
CD08603	71	0	13	7	83	31	9	3
CD08604	2	0	0	15	0	0	2	0
CD08605	1444	5472	4928	1050	4799	6175	5460	1547
CD08606	1919	1559	1420	1188	1152	978	1307	2213
CD08607	1049	3472	4063	2744	1671	1168	1186	9256
CD08608	170	134	158	93	172	272	236	165
CD08609	19	43	37	257	933	1716	76	66
CD08610	89	17	90	107	21	12	25	292
CD08611	41	41	25	32	6	12	19	18
CD08612	400	350	386	186	287	272	285	88
CD08613	530	526	982	847	770	811	908	763
CD08614	1887	268	94	113	68	54	53	27
CD08615	692	1060	979	630	930	1518	797	755
CD08616	106	57	0	0	0	0	0	1
CD08617	40	81	85	339	1069	652	86	86
CD08618	137	84	0	1	0	0	0	1
CD08619	2085	2611	2009	1373	1274	1122	1233	1129
CD08620	116	109	170	248	228	322	357	177
CD08621	172	290	335	182	234	287	257	201
CD08622	490	32	5	13	0	0	0	8
CD08623	33	47	23	24	0	4	2	24
CD08624	267	58	3	17	3	8	16	15
CD08625	10	11	5	5	0	0	0	4
CD08626	159	7	1	2	0	0	0	1
CD08627	510	264	27	664	4429	2713	1064	192
CD08628	60	2	0	1	0	0	0	1
CD08629	198	95	163	109	107	105	199	83
CD08630	428	26	3	11	0	0	0	4
CD08631	512	1015	403	860	909	1312	2176	1448
CD08632	235	245	252	181	231	299	313	186
CD08633	546	693	272	270	329	342	480	378
CD08634	486	16	1	9	0	0	0	2
CD08635	399	22	2	8	0	0	0	2
CD08636	0	7	8	35	50	16	5	3
CD08637	637	1002	634	807	563	710	751	821
CD08638	53	9	2	8	0	0	0	7
CD08639	30	16	25	20	36	101	97	188
CD08641	13	0	0	3	44	128	209	13
CD08642	0	0	1	5	59	43	23	0
CD08643	592	655	529	330	83	58	70	1070
CD08644	2803	8747	1376	1187	2687	1669	1833	2249
CD08645	1069	371	306	300	296	260	408	836
CD08646	2829	2823	774	1983	358	311	579	1317
CD08647	1875	2789	3745	1976	1330	1207	1509	2017
CD08648	438	24	1	12	0	0	0	1
CD08649	599	755	618	482	296	283	287	619
CD08650	254	321	298	189	127	105	130	312
CD08651	60	70	73	101	53	82	63	220
CD08652	451	28	2	10	0	0	0	3
CD08653	61	94	21	49	92	78	162	61
CD08654	995	1330	984	718	832	877	959	1158
CD08655	754	1145	2075	1846	2245	1595	1659	2986
CD08656	345	24	3	12	0	0	0	2
CD08657	0	0	6	8	6	4	2	25
CD08658	99	158	140	167	190	194	292	220
CD08659	140	67	49	46	53	66	65	41
CD08660	4	4	6	22	6	4	5	2
CD08661	271	143	156	118	175	279	188	88
CD08662	232	24	18	3	3	0	0	4
CD08663	268	355	351	271	536	555	693	828
CD08664	421	327	461	304	293	489	313	235
CD08665	394	429	380	185	9	4	5	790
CD08666	998	2214	2503	969	1081	935	1356	2177
CD08667	1499	2768	2815	2230	3386	2018	2461	3388
CD08668	17	24	4	14	18	12	7	8
CD08669	432	734	485	330	329	334	394	451
CD08670	10	2	0	0	0	0	0	0
CD08671	86	0	0	0	0	0	0	0
CD08673	223	0	0	0	0	0	0	0
CD08674	40	0	0	0	0	0	0	0
CD08675	44	0	0	0	0	0	0	0
CD08676	178	1	0	0	0	0	0	0
CD08677	16	27	26	53	74	147	81	11
CD08678	9	11	14	39	15	19	19	12
CD08679	13	2	2	15	3	8	5	9
CD08680	20	1	0	27	178	194	114	3
CD08681	0	1	10	7	6	8	0	1
CD08682	0	0	0	2	6	0	2	0
CD08684	6	1	13	72	27	27	5	1
CD08686	29	15	3	3	47	182	46	157
CD08687	416	390	369	465	118	120	114	2732
CD08688	8	7	14	9	3	0	2	62
CD08689	4	10	81	28	15	12	5	57
CD08690	21	7	14	4	314	1207	433	186
CD08691	3	9	29	9	6	4	2	25
CD08704	4	2	77	121	59	58	116	259
CD08705	3	8	0	2	12	12	0	2
CD08706	2	5	1	1	33	16	28	4
CD08707	196	969	187	167	121	175	216	408
CD08710	41	206	258	122	30	16	12	28
CD08711	1444	858	1446	837	563	508	570	1104
CD08712	3725	4770	719	333	3	12	5	3
CD08713	1280	1341	359	717	1905	803	922	3587
CD08714	713	933	896	562	865	869	883	504
CD08716	390	309	247	177	433	543	542	214
CD08717	27	40	115	69	0	0	0	206
CD08718	7	3	99	147	41	23	21	247
CD08719	10313	57994	8637	4637	3096	2348	3272	1735
CD08720	14	18	17	12	0	0	2	54
CD08721	84	71	109	77	18	19	23	93
CD08722	51	1341	1111	203	53	213	7	18
CD08723	427	223	360	262	364	466	698	356
CD08724	9	4	5	37	47	31	21	18
CD08725	1793	2719	1524	2327	4073	9048	4079	1480
CD08726	278	567	417	344	598	260	308	90
CD08727	160	183	163	91	133	175	174	52
CD08728	4089	69	3	5	0	0	0	0
CD08729	784	880	536	514	655	1207	686	302
CD08730	2373	2893	3193	18531	2216	2162	2100	1810
CD08731	27	13	0	1	3	4	0	0
CD08732	62	9	84	82	0	8	2	198
CD08733	38	14	14	166	201	311	188	263
CD08734	7	9	5	1	3	4	2	5
CD08735	17	12	39	7	53	43	74	2
CD08736	34	5	170	196	151	82	102	235
CD08737	331	338	1426	1577	767	811	936	1191
CD08738	2384	2623	1330	1288	1899	1444	2095	1814
CD08739	6750	27962	11996	18577	36375	36148	28015	10222
CD08740	24	21	28	67	39	50	23	43
CD08741	20	11	136	52	3	4	2	44
CD08742	2	1	1	120	3	8	2	1
CD08743	338	1124	509	331	373	629	475	344
CD08744	2176	2597	870	1645	2574	5100	3696	1908
CD08745	4051	4566	2132	2614	2447	2733	4229	5599
CD08746	505	452	196	233	98	109	95	213
CD08747	117	85	136	91	151	291	123	69
CD08748	293	42	4	10	0	0	0	0
CD08749	58	22	15	4	0	0	0	2
CD08750	2	2	2	35	9	4	2	4
CD08751	5416	10691	3397	3421	2705	2457	5077	9141
CD08752	15	72	73	222	323	303	220	112
CD08753	2034	2609	3000	2364	2826	3156	3247	2072
CD08754	494	1014	780	644	1928	1917	1472	484
CD08755	10	11	76	168	4029	2119	5977	43562
CD08756	3873	2739	1563	1988	1653	1215	1787	1162
CD08757	450	415	281	402	335	415	489	1025
CD08758	23	55	18	253	28797	248	37	141
CD08759	1363	1362	1644	1309	2174	1719	2195	2274
CD08760	337	52	6	11	6	4	0	1
CD08761	276	276	283	273	604	442	623	297
CD08762	6	1	2	18	0	0	0	0
CD08763	23	9	180	313	1025	734	2482	9862
CD08764	1	3	4	7	21	12	0	6
CD08765	159	171	27	81	281	551	401	421
CD08766	736	1716	451	562	412	256	368	246
CD08767	3989	4241	3781	2130	1123	881	1166	2650
CD08768	89	38	410	338	204	120	246	317
CD08769	268	26	144	1700	17899	3148	3865	1700
CD08770	1601	71	3	33	3	0	5	6
CD08771	955	1093	945	588	826	648	1050	727
CD08772	97	13	84	72	62	47	53	1
CD08773	9319	8909	16185	7432	4518	2042	2686	18895
CD08774	87	100	461	346	9	8	5	391
CD08775	2561	2934	590	305	53	120	67	234
CD08776	306	344	406	245	361	349	297	337
CD08777	328	340	470	605	741	563	704	663
CD08778	8	15	73	610	699	10375	804	32
CD08780	690	630	487	286	270	198	287	356
CD08781	222	171	1750	759	98	85	58	637
CD08782	394	224	308	313	551	524	674	273
CD08783	563	8316	1254	2847	5735	2286	2429	3361
CD08784	180	102	317	162	181	217	199	136
CD08785	389	437	461	149	249	307	269	61
CD08786	9	3	20	26	6	0	2	4
CD08787	20	2	0	80	3	4	2	102
CD08788	625	1083	955	517	681	675	667	548
CD08789	1649	1804	1040	862	711	753	742	262
CD08790	2177	3342	2200	1268	418	279	436	934
CD08791	1136	942	887	732	625	547	528	608
CD08792	779	549	764	501	726	679	878	492
CD08793	1636	2206	2060	1047	355	155	269	1772
CD08794	201	5	1	0	0	0	0	1
CD08795	110	435	124	545	9	8	5	555
CD08796	1	0	0	40	0	0	2	11
CD08797	1	0	2	8	24	19	7	0
CD08798	313	194	193	159	287	233	375	157
CD08799	573	591	392	823	536	621	612	261
CD08800	556	1192	642	398	548	524	593	585
CD08801	3415	4404	2425	1571	3190	3567	3513	641
CD08802	1330	1133	1341	981	1155	1052	1096	983
CD08803	27	42	334	591	198	147	83	422
CD08804	461	465	297	206	243	206	181	167
CD08805	5	6	3	30	47	31	16	1
CD08806	889	988	918	454	924	986	848	328
CD08807	3	3	14	17	6	4	5	165
CD08808	376	110	248	853	175	159	151	1093
CD08809	122	217	182	104	116	136	134	74
CD08810	198	385	354	273	107	66	56	345
CD08811	310	446	473	247	178	163	266	348
CD08812	94	34	55	61	6	4	5	57
CD08813	3360	4678	4278	3509	6179	5605	6468	4423
CD08814	46	7	27	160	98	58	9	8
CD08815	20	19	11	2	9	12	12	4
CD08816	407	379	259	213	433	613	524	552
CD08817	525	742	677	208	6	8	5	403
CD08818	1792	2481	1847	954	1108	897	959	478
CD08819	364	319	478	569	456	388	410	925
CD08820	649	1024	667	608	939	928	1015	611
CD08821	7	15	29	19	9	8	0	25
CD08822	47	22	1	0	0	4	0	0
CD08823	618	521	435	439	566	1390	702	234
CD08824	1	1	2	53	0	0	0	66
CD08825	130	1024	83	17	0	4	0	1
CD08826	250	183	172	173	326	621	334	161
CD08827	12	5	7	9	9	8	12	9
CD08828	268	303	316	307	554	1040	672	352
CD08829	2967	3594	3773	1999	1914	1425	1430	2394
CD08830	114	283	982	473	584	617	700	489
CD08831	2621	317	33	87	6	16	7	17
CD08832	407	458	368	307	477	481	589	388
CD08833	885	1726	611	488	255	221	255	371
CD08834	8	6	11	87	3	0	2	379
CD08835	543	1279	895	366	447	392	368	134
CD08836	20	14	36	81	3	4	12	354
CD08837	609	996	459	415	293	260	487	754
CD08839	7	18	11	16	33	12	39	13
CD08840	27	105	1	0	0	0	0	0
CD08841	28	9	228	493	210	217	262	320
CD08842	60	8	119	103	33	19	14	9
CD08843	1387	2095	2644	2321	542	353	545	4195
CD08844	533	1087	897	543	145	116	123	754
CD08845	5	111	14	52	0	50	2	10
CD08846	21	3	2	2	0	0	7	983
CD08847	630	783	902	520	794	703	885	331
CD08848	19	14	122	405	12	8	5	4
CD08849	3560	1441	760	587	379	314	459	1641
CD08850	102	76	10	40	3	16	5	42
CD08851	63	38	40	30	18	23	14	28
CD08852	582	361	405	319	391	380	503	431
CD08854	71	95	55	78	83	113	63	60
CD08855	365	452	308	355	1040	2018	1052	1579
CD08856	3737	5794	5968	2904	1138	835	1386	6308
CD08857	17	120	3	113	18	70	16	1
CD08858	1	0	1	11	3	12	2	0
CD08860	1459	1232	1048	1164	1286	959	883	1061
CD08861	80	29	872	398	803	594	524	806
CD08862	510	651	518	423	441	353	473	478
