ID	e4	e6	e10	e14	eN	mN	latN	adult
CD00318	193	208	189	171	273	353	345	131
CD00319	1795	3579	476	854	1262	477	950	1674
CD00320	143	157	220	161	255	485	355	169
CD00321	3	7	7	345	1040	1487	477	15
CD00322	64	5	12	17	6	0	2	6
CD00323	7016	10055	10963	13782	1878	1560	1773	9569
CD00324	542	313	442	307	39	23	30	651
CD00325	787	775	704	1618	726	613	987	2501
CD00326	107	35	9	5	0	0	0	1
CD00327	4795	5360	2385	1229	1849	1638	6120	9415
CD00328	9	5	358	140	33	16	12	11
CD00329	779	901	146	76	110	89	86	78
CD00330	1068	1043	633	597	646	710	1047	1326
CD00331	638	475	2827	2413	2548	1452	2169	4663
CD00332	477	433	320	412	720	974	860	671
CD00333	4082	2654	1908	1263	1256	1040	1212	1009
CD00334	1995	1356	937	2208	604	1005	1738	2906
CD00335	1180	2493	1058	963	815	699	985	1247
CD00336	323	495	707	321	190	144	287	382
CD00337	438	423	1107	518	714	609	651	568
CD00338	1647	1346	663	610	960	757	1001	1122
CD00339	582	833	1887	1083	2020	1622	1613	1322
CD00340	494	709	636	350	421	400	475	356
CD00341	1812	1292	904	737	705	563	973	1447
CD00342	9	6	26	1542	6	0	2	6
CD00343	221	197	157	95	148	229	236	86
CD00344	3	3	19	195	169	602	248	68
CD00345	1241	1706	2426	1258	909	687	862	922
CD00346	13	1	1	10	18	16	16	1
CD00347	864	518	553	536	972	939	1029	473
CD00348	55	97	33	7	0	0	0	13
CD00349	1780	233	43	57	24	31	39	20
CD00350	580	572	413	217	397	458	445	132
CD00351	1531	1154	618	1657	2545	1390	1701	1461
CD00352	1	1	4	4	9	8	5	1
CD00353	81	71	12	7	6	4	5	7
CD00354	2320	2116	1513	1136	812	718	920	1680
CD00355	652	444	399	353	492	474	487	502
CD00356	130	5	3	2	0	12	0	8
CD00357	1482	6715	4679	6904	1733	1265	2765	2494
CD00358	501	514	388	295	501	528	496	407
CD00359	3	9	4	33	625	1300	447	3
CD00360	590	471	1559	586	157	140	174	776
CD00361	283	917	100	160	427	1848	1291	1134
CD00362	3476	4495	1944	1721	2334	1774	1784	2702
CD00363	1525	1212	365	638	501	470	691	928
CD00364	2656	3883	4646	1785	2385	1595	1689	2763
CD00365	530	431	625	486	1028	1347	1339	458
CD00366	39	69	5	1	0	4	0	2
CD00367	2	3	2	20	6	0	0	1
CD00369	840	1305	536	674	776	1192	1173	882
CD00371	74	2	7	10	184	279	512	148
CD00372	1700	1597	609	474	175	101	134	886
CD00373	427	693	1153	2128	1336	765	1145	3466
CD00374	295	180	177	200	1570	1514	2614	856
CD00375	2	0	0	5	6	12	5	0
CD00376	5	26	23	3	36	27	30	40
CD00377	404	326	372	268	453	637	496	210
CD00378	57	25	50	90	110	128	169	222
CD00380	0	0	0	0	71	182	39	0
CD00381	3	0	33	58	18	12	19	80
CD00385	13	14	17	17	0	0	2	88
CD00386	49	30	1111	1550	1016	411	688	2213
CD00388	75	110	114	191	12	4	12	1394
CD00390	186	1970	1339	1729	924	435	1210	603
CD00391	33	41	23	27	15	8	9	214
CD00392	6	1	3	1	0	0	0	13
CD00396	134	8	1	5	0	0	0	1
CD00398	0	0	0	1	0	0	0	44
CD00399	0	0	5	1	3	0	0	0
CD00400	349	530	1250	1075	433	303	362	1816
CD00402	2	1	1	48	41	47	12	0
CD00405	3	0	0	4	9	16	9	23
CD00406	19	1	0	20	6	4	7	7
CD00407	178	80	36	54	21	16	2	11
CD00408	3	2	3	6	0	0	0	1
CD00409	5	15	2	2	0	0	0	0
CD00410	52	61	20	5	3	0	2	63
CD00411	1030	500	4	25	0	0	0	0
CD00412	3424	6673	3647	2056	1229	1001	1237	770
CD00413	1792	2296	3446	1176	880	652	776	538
CD00414	247	105	251	1178	2681	3202	3400	2118
CD00415	17	3	0	1	9	19	2	1
CD00416	2067	137	20	67	3	4	5	67
CD00417	1020	2191	290	20	47	4	2	33
CD00419	194	227	210	216	278	435	417	207
CD00420	4405	5552	3808	4162	5978	4402	7038	3475
CD00421	746	762	662	435	755	1685	1003	464
CD00422	311	304	159	223	311	567	484	320
CD00423	6	9	8	8	50	62	56	15
CD00424	17	0	0	1	0	0	0	0
CD00425	2064	2915	4505	2845	992	823	980	1594
CD00426	181	270	135	209	196	167	102	29
CD00427	924	1767	888	548	761	1487	1432	843
CD00428	12	0	0	1	0	0	0	0
CD00429	4	3	11	47	83	31	23	30
CD00430	185	380	393	683	1597	2228	1066	364
CD00431	31	2	54	26	12	16	14	4
CD00432	47	9	47	256	619	617	3135	460
CD00433	183	107	34	47	3	4	0	3
CD00434	2364	1909	2126	1496	856	761	846	1124
CD00435	914	193	163	270	145	147	123	40
CD00436	795	2932	2570	2946	672	594	535	451
CD00437	481	1250	1001	721	110	287	408	1111
CD00438	799	1029	2136	1566	812	652	755	722
CD00439	209	402	395	351	607	1836	844	208
CD00440	255	251	245	289	427	559	660	453
CD00441	401	20	2	11	0	0	0	0
CD00442	206	8	6	8	0	0	0	1
CD00443	410	239	239	3900	826	213	160	2168
CD00444	423	310	68	103	166	144	144	238
CD00445	90	570	586	492	36	54	21	216
CD00446	3	7	2	11	353	287	656	73
CD00447	434	607	957	707	595	435	501	1882
CD00448	13	12	26	114	9	12	14	29
CD00449	154	117	209	227	190	206	197	142
CD00450	714	555	803	1218	548	439	612	636
CD00451	759	1006	2234	1924	4420	13558	5624	785
CD00452	1232	1088	554	492	637	854	605	112
CD00453	41	37	0	0	0	0	0	0
CD00454	2	51	2	26	3	0	14	33
CD00455	37	3	29	30	6	4	7	2
CD00456	42	9	3	12	15	8	7	16
CD00457	229	737	713	675	409	574	304	242
CD00458	457	638	1042	529	826	920	695	377
CD00460	10011	13295	4766	5418	2965	2375	2456	11341
CD00461	47	4	57	32	15	12	5	6
CD00462	34	10	9	50	44	54	39	39
CD00463	3228	2835	373	1348	2263	1098	2762	1839
CD00464	1085	1150	1854	949	747	439	619	1329
CD00465	95	78	76	30	3	4	5	309
CD00466	6	22	5	25	15	4	14	7
CD00467	755	440	967	2884	8543	7072	8655	2410
CD00468	665	1054	872	657	587	571	663	881
CD00469	1571	1159	1067	834	764	901	806	528
CD00470	2067	3918	4557	2864	2305	1261	1986	3860
CD00471	3228	5216	2912	8023	13363	17436	22418	7395
CD00472	811	762	509	388	281	245	366	279
CD00473	330	232	214	203	308	404	535	168
CD00474	25	17	58	124	33	23	5	6
CD00475	787	289	142	1208	1828	2170	2280	3193
CD00476	804	80	0	17	0	0	0	0
CD00477	7	0	0	0	0	0	0	0
CD00478	1400	1769	4034	2654	3004	3020	3622	4363
CD00479	67	67	36	10	3	0	0	148
CD00480	3703	1018	446	931	895	602	1149	4981
CD00481	256	229	601	451	507	384	524	611
CD00482	10	3	1	0	0	0	0	0
CD00483	2164	1516	723	550	669	679	950	416
CD00484	685	663	536	317	249	213	209	2190
CD00485	43	11	1	1	0	0	0	0
CD00486	34	11	0	0	3	0	0	1
CD00487	29274	21739	6073	9057	5670	2473	4790	47160
